,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
211,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Clinic,,South,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,0.0,0.0,"Performance feedback,Other",,4.0,1-3 candidates,4.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,Yes,15% of patient's direct services,3.0,1-3 candidates,2.0,1-5 hours a week,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,"Live CEU events,Online CEU training",,4.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,5.0,Education,Behavior analyst,Clinic,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring","Performance feedback,Other","Live CEU events,Online CEU training",4.3930232558139535,4.0,4.0,4.2,4.4,4.5,3.75,4.461538461538462
212,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Home-based,,South,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,10.0,9.0,1.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,4.0,1-3 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,4-7 clients/consumers,1.0,Self,Yes,5% of patient's direct services,1.0,1-3 candidates,2.0,1-5 hours a week,3.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,"Mentorship,Online CEU training",,1.0,5.0,2.0,4.0,1.0,4.0,5.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,5.0,1.0,5.0,4.0,3.0,3.0,2.0,Yes,1.0,3.0,Education,Behavior analyst,Home-based,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Monetary compensation,Supervision Curriculum","Mentorship,Online CEU training",2.7930232558139534,3.0,3.5,2.6,4.0,3.1666666666666665,2.5,2.9615384615384617
213,Yes,3-5 years,0-2 years,Other,,Behavior analyst,,Home-based,,South,Other,,Group and Individual fieldwork,Internet based continuing education,,3.0,3.0,0.0,Training on supervision practices,,5.0,4-7 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,5.0,Self,Yes,20% of patient's direct services,1.0,4-7 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Published supervision curriculum,,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Yes,1.0,3.0,Other,Behavior analyst,Home-based,Other,Internet based continuing education,Training on supervision practices,Published supervision curriculum,3.5930232558139537,5.0,4.5,5.0,5.0,4.333333333333333,5.0,4.1923076923076925
216,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Home-based,,South,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education",,0.0,0.0,0.0,Training on supervision practices,,2.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,2.0,Employer,Yes,10% of patient's direct services,2.0,1-3 candidates,5.0,6-10 hours a week,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,Online CEU training,,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education",Training on supervision practices,Online CEU training,2.793023255813954,3.75,2.5,2.8,4.2,3.5,3.0,3.320186183243508
218,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,West,Individual private practice,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,5.0,5.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum",,3.0,4-7 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Self,Yes,15% of patient's direct services,3.0,7-11 candidates,5.0,16+ hours a week,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,"Mentorship,Online CEU training",,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Clinic,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum","Mentorship,Online CEU training",3.793023255813954,4.75,4.0,4.8,4.6,5.0,4.25,4.358647721705046
219,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,Midwest,Agency,,Group and Individual fieldwork,Internet based continuing education,,1.0,0.0,0.0,Protected office planning time,,5.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,5.0,Employer,Yes,5% of patient's direct services,1.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,1.0,"Graduate course work material,Mentorship,Other",BACB task list,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Clinic,Agency,Internet based continuing education,Protected office planning time,"Graduate course work material,Mentorship,OtherBACB task list",2.5930232558139537,4.75,4.5,4.6,5.0,4.166666666666667,3.0,4.204801567858893
220,Yes,3-5 years,3-5 years,Education,,Researcher,,University or college,,South,University,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,2.0,,0.0,"Training on supervision practices,Performance feedback",,5.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,11-15 hours a week,1-3 clients/consumers,2.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,2.0,1-3 candidates,4.0,1-5 hours a week,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"Graduate course work material,Mentorship,Live CEU events",,3.0,5.0,3.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,Yes,3.0,2.0,Education,Researcher,University or college,University,"Internet based continuing education,Conferences or workshops","Training on supervision practices,Performance feedback","Graduate course work material,Mentorship,Live CEU events",3.3930232558139535,4.0,3.5,3.2,4.8,4.166666666666667,3.5,3.269230769230769
221,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Other,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,5.0,5.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum",,4.0,4-7 candidates,4.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Employer,Yes,20% of patient's direct services,5.0,4-7 candidates,5.0,1-5 hours a week,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,Graduate course work material,,5.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,3.3248407643312103,1.0,Psychology,Behavior analyst,Other,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum",Graduate course work material,2.993023255813953,4.5,4.5,3.8,4.2,4.833333333333333,1.25,3.8586477217050468
222,Yes,3-5 years,0-2 years,Education,,Behavior analyst,,Other,,West,Other,public school employment,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,,,Performance feedback,,2.0,1-3 candidates,4.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,2.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,2.0,1-5 hours a week,2.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,"Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Other,Otherpublic school employment,"Internet based continuing education,Conferences or workshops",Performance feedback,"Online CEU training,Published supervision curriculum",2.993023255813953,3.25,2.0,3.0,4.0,4.0,3.0,3.4355707986281234
223,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,Protected office planning time,,3.0,1-3 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,I do not provide consultation to clients/consumers,5.0,Self,No,I do not supervise RBTs.,1.0,1-3 candidates,5.0,1-5 hours a week,2.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,"Online CEU training,Other",Developed at our clinic,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,3.0,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring",Protected office planning time,"Online CEU training,OtherDeveloped at our clinic",3.9930232558139536,4.0,2.5,3.8,4.2,4.666666666666667,2.0,4.0
224,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Home-based,,South,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Individual mentoring",,0.0,0.0,0.0,"Protected office planning time,Performance feedback,Monetary compensation,Supervision Curriculum",,4.0,1-3 candidates,4.0,1.0,Yes,5.0,4.0,0 hours,7-11 clients/consumer,3.0,Self,Yes,10% of patient's direct services,3.0,1-3 candidates,5.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Mentorship,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,No,3.3248407643312103,4.0,Psychology,Behavior analyst,Home-based,"Agency,Individual private practice","Internet based continuing education,Individual mentoring","Protected office planning time,Performance feedback,Monetary compensation,Supervision Curriculum","Mentorship,Online CEU training,Published supervision curriculum",3.2,4.5,4.5,5.0,5.0,5.0,5.0,4.320186183243508
225,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,Midwest,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Administrative assistance,Performance feedback",,3.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,7-11 clients/consumer,5.0,Employer,Yes,5% of patient's direct services,1.0,1-3 candidates,3.0,1-5 hours a week,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,"Mentorship,Online CEU training",,3.0,5.0,2.0,5.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,Yes,3.0,4.0,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Performance feedback","Mentorship,Online CEU training",3.5930232558139537,4.25,4.0,3.8,4.2,3.8333333333333335,2.5,3.6538461538461537
226,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Home-based,,South,Agency,,Group and Individual fieldwork,"Internet based continuing education,Individual mentoring",,2.0,2.0,0.0,"Protected office planning time,Administrative assistance,Monetary compensation,Supervision Curriculum",,5.0,4-7 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,12+ clients/consumers,4.0,Self,Yes,10% of patient's direct services,1.0,4-7 candidates,4.0,6-10 hours a week,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,"Mentorship,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,No,3.3248407643312103,5.0,Education,Behavior analyst,Home-based,Agency,"Internet based continuing education,Individual mentoring","Protected office planning time,Administrative assistance,Monetary compensation,Supervision Curriculum","Mentorship,Online CEU training,Published supervision curriculum",3.9930232558139536,4.5,5.0,5.0,5.0,4.666666666666667,4.25,4.5124938755512005
227,Yes,3-5 years,3-5 years,Psychology,,Other,,Other,,South,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Monetary compensation,Supervision Curriculum",,5.0,1-3 candidates,5.0,3.0,Yes,5.0,4.0,0 hours,12+ clients/consumers,5.0,Employer,No,I do not supervise RBTs.,3.0,1-3 candidates,2.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,"Graduate course work material,Live CEU events,Online CEU training",,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,No,3.3248407643312103,3.0,Psychology,Other,Other,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring","Monetary compensation,Supervision Curriculum","Graduate course work material,Live CEU events,Online CEU training",3.6,4.25,4.5,3.4,4.2,4.666666666666667,5.0,3.7432631063204314
228,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,Northeast,Individual private practice,,Individual fieldwork,"Conferences or workshops,Individual mentoring",,12.0,12.0,0.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,5.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,16+ hours a week,7-11 clients/consumer,5.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Mentorship,Live CEU events",,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Yes,4.0,3.0,Behavior analysis,Behavior analyst,Other,Individual private practice,"Conferences or workshops,Individual mentoring","Training on supervision practices,Monetary compensation,Supervision Curriculum","Mentorship,Live CEU events",3.9930232558139536,5.0,5.0,4.4,4.6,4.666666666666667,5.0,4.153846153846154
229,Yes,>5 years,>5 years,Psychology,,Behavior analyst,,Home-based,,West,"University,Agency,Individual private practice",,Group and Individual fieldwork,Individual mentoring,,30.0,30.0,0.0,Monetary compensation,,5.0,7-11 candidates,5.0,5.0,Yes,5.0,5.0,6-10 hours a week,12+ clients/consumers,5.0,Self,Yes,10% of patient's direct services,5.0,12+ candidates,4.0,6-10 hours a week,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events",,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Yes,5.0,5.0,Psychology,Behavior analyst,Home-based,"University,Agency,Individual private practice",Individual mentoring,Monetary compensation,"Graduate course work material,Mentorship,Live CEU events",5.0,4.75,5.0,4.2,4.4,4.666666666666667,5.0,4.6923076923076925
230,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Home-based,,West,Agency,,Group and Individual fieldwork,Conferences or workshops,,0.0,0.0,0.0,"Protected office planning time,Administrative assistance,Performance feedback",,4.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,11-15 hours a week,12+ clients/consumers,4.0,Employer,Yes,10% of patient's direct services,4.0,1-3 candidates,3.0,1-5 hours a week,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,"Mentorship,Published supervision curriculum",,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Home-based,Agency,Conferences or workshops,"Protected office planning time,Administrative assistance,Performance feedback","Mentorship,Published supervision curriculum",3.5930232558139537,4.0,4.0,4.0,4.4,4.166666666666667,4.5,4.166340029397355
231,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,Other,,Individual fieldwork,Conferences or workshops,,5.0,4.0,0.0,Training on supervision practices,,4.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Self,Yes,15% of patient's direct services,3.0,4-7 candidates,3.0,1-5 hours a week,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,"Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,No,3.3248407643312103,1.0,Education,Behavior analyst,Other,Other,Conferences or workshops,Training on supervision practices,"Live CEU events,Online CEU training,Published supervision curriculum",2.9930232558139536,3.75,3.5,4.8,4.2,3.6666666666666665,4.75,4.0124938755512005
232,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,West,Other,School district ,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,0.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback",,5.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,7-11 clients/consumer,3.0,Employer,No,I do not supervise RBTs.,3.0,1-3 candidates,1.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Other,OtherSchool district,"Internet based continuing education,Conferences or workshops","Protected office planning time,Training on supervision practices,Performance feedback","Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",3.793023255813954,2.25,5.0,3.4,4.4,4.666666666666667,3.75,3.7432631063204314
233,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,Other,Public School,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,4.0,2.0,0.0,Protected office planning time,,5.0,1-3 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,4.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,"Online CEU training,Published supervision curriculum",,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Other,OtherPublic School,"Internet based continuing education,Conferences or workshops",Protected office planning time,"Online CEU training,Published supervision curriculum",3.3930232558139535,4.75,4.5,3.4,4.2,4.666666666666667,2.5,3.704801567858893
234,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Clinic,,Northeast,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,2.0,2.0,0.0,"Training on supervision practices,Performance feedback,Monetary compensation",,3.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,5.0,Employer,Yes,5% of patient's direct services,2.0,1-3 candidates,1.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,3.3248407643312103,5.0,Education,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback,Monetary compensation","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.9930232558139536,4.0,3.5,3.4,4.4,5.0,3.25,4.243263106320431
